"sa2","time_p"
341500,1.0
346200,1.0
357200,1.0
347300,0.999875249500998
346400,0.9975049900199601
357700,0.9958832335329342
348100,0.9927644710578842
357000,0.9917664670658682
357300,0.9736776447105788
348200,0.968937125748503
311300,0.9620758483033932
348600,0.9585828343313373
259500,0.9549650698602794
352700,0.9164171656686627
346000,0.9156686626746507
347400,0.9154191616766467
147900,0.9108033932135728
346300,0.9001996007984032
333600,0.8809880239520959
343100,0.8642714570858283
345900,0.8557884231536926
357500,0.7991516966067864
357600,0.7634730538922155
346100,0.7603542914171657
311900,0.7166916167664671
