"sa","cluster","suburb","weekend","shopping","centre","rms_err"
"100100",0.0,1.8397057840489603,0.9491710918973314,0.5919226401581045,1.1316772955544414,0.39510242309438653
"100200",0.0,0.0,0.3134469069043289,0.45565000191102845,0.0,0.8624717472796453
"100300",0.0,2.7553378523040735,0.5507799011299355,0.0,2.057777706214344,0.3709841641473415
"100400",1.0,0.7113740425497813,0.5790638864184471,0.04952306700137934,0.0,0.13388712354056362
"100500",0.0,2.2554373319787158,0.43801502402229686,0.3499220902360358,3.0310393259651045,0.4590899723115705
"100600",1.0,0.9653093151561534,0.3434789124990138,0.13094532578239107,0.0,0.15732658060092336
"100700",2.0,0.6067206442980363,0.10359526446753563,0.0379239117091196,1.6355769269145437,0.13289308191688037
"100800",2.0,1.9536527939364294,0.39124330747899877,0.010870857190244165,3.0757893256933895,0.16120875110398256
"100900",0.0,0.8988627630290759,0.0,0.0,0.0,0.5117219447169737
"101000",0.0,1.3638880210198976,0.504638864116608,0.0,0.6346549013406948,0.3270394952219088
"101100",1.0,0.7219735163973339,0.6250073546357613,0.0,0.1015427556318773,0.2205999085011991
"101200",1.0,1.445286474052269,0.021301328495477147,0.0,0.46336826340876747,0.28788334342819955
"101300",0.0,1.5393434197790736,0.23140897415764933,0.0,0.6486038672546418,0.3146788581180223
"101400",0.0,0.7578878648975995,0.5121478114736177,0.0977293057566955,0.0,0.3185210811686971
"101500",0.0,0.6748252996317771,0.7011700802392973,0.2554163501233676,0.0,0.29189959297564966
"101600",0.0,0.018498098447170548,1.0610883766033532,0.037155077669744886,0.25693373236193773,0.40549545665568426
"101700",0.0,0.16616879725884123,0.6355776069202067,0.0,0.0,0.7268299640663486
"101800",1.0,0.6496117842360934,0.5918952172541927,0.0,0.0,0.18793297127868402
"101900",0.0,0.9089367695809492,0.45667292636505213,0.3436734929210716,0.0,0.46988452628901894
"102000",0.0,0.5797022347083632,0.5138576446820261,0.03234680445241956,0.0,0.532937016949292
"102100",0.0,0.0,1.0607335754342642,0.06077464273660067,0.25241676703039945,0.4025751825827959
"102200",1.0,0.9919952152203765,0.004924680704050798,0.0,0.0,0.3146648399313017
"102300",0.0,3.9478866848168366,0.469602188343541,0.0,3.390952314946769,0.46843570285680525
"102400",1.0,0.9518754058991897,0.26908715870432465,0.0,0.08169381113338185,0.3016062342773528
"102500",0.0,0.0,0.15241421270271419,0.5056945160433902,0.5374885151373587,0.4050478149727985
"102600",0.0,0.5372095147645831,0.0,0.15456616319296546,0.0,0.9197488787562027
"102700",0.0,3.40495282511678,0.5142363869135742,0.0,3.5916049139006847,0.8752418210630065
"102800",0.0,4.128071670410096,0.6668275378233973,0.0,3.6592343272741674,0.5077913598214828
"102900",0.0,1.6397616604536507,0.9836218800342816,0.0,1.2658252115945545,0.24481355853372366
"103000",2.0,1.7025376041974758,0.2861812065063148,0.5034322517087813,2.406648035027535,0.11779433514792687
"103100",0.0,2.007124551864074,0.40446898465424513,0.21058132545513902,2.941090660062684,0.3396505744669804
"103200",0.0,0.55899821211046,0.06609368985108487,0.0,0.0,0.8260649696418965
"103300",0.0,0.027247292654968794,0.501849939225133,0.0,0.0,0.8678445087788131
"103400",0.0,1.8180046734012372,0.0,0.0,2.6417399995169504,0.30234389343591483
"103500",0.0,3.2108015397136693,0.32457096734769136,0.2323077840331067,4.005358736957863,0.19440283416829438
"103600",0.0,0.5892286112671643,0.027615884645117637,0.17593905174877428,0.0,0.899871443141083
"103700",0.0,1.6608565289651056,0.9622834829382279,0.0,1.285788487444035,0.31024346231109434
"103800",0.0,0.12858324584043296,1.0896366805837685,0.0,0.22388444610251182,0.21428877891822598
"103900",0.0,2.4608601121197564,1.2582986261683584,0.2837500264287306,2.291704513955949,0.5258601851069238
"104000",0.0,2.3555503880535538,0.3872631733676591,0.0,2.825814175404741,0.8832842137729268
"104100",0.0,0.0,0.17294162835928292,0.0,0.5137373459679774,0.9009715876644628
"104200",0.0,1.1142034205971718,1.1756974557877007,0.0,1.2205142430539926,0.46152757360922714
"104300",0.0,1.7209018753348144,0.7691265354444362,0.0,1.2320244358759604,0.45669080231363823
"104400",0.0,1.4674088205727003,1.2959713869602885,0.0,1.6792632319096248,0.4467747754580223
"104500",0.0,3.601961328827405,0.0945160596195849,0.0,2.9688338817099074,0.39804148464947553
"104600",0.0,6.051408282373627,0.8127215183744638,0.6738965832241144,6.231552457443397,0.6532097990205139
"104700",0.0,0.0,0.5059095958478703,0.2125491246370059,0.04448121922745664,0.8669809875985329
"104800",1.0,0.9642144400480906,0.10741040977333262,0.0,0.0,0.26891451824980717
"104900",3.0,0.6390688166475508,0.8280275342078839,0.4900438031103097,0.0,0.19348554278526545
"105000",1.0,2.2636888540141302,0.49292234930251805,0.0,1.498605779266682,0.2946042032410958
"105100",1.0,1.473353166101802,0.0,0.06261567972383088,0.3952553419876114,0.17158908417387983
"105200",1.0,1.3204869926329796,0.08611744339233537,0.40785349933538584,0.0,0.2567785832403013
"105300",1.0,1.0330269502731315,0.0,0.01839635931923415,0.0,0.2404870012166486
"105400",1.0,1.1526995206279167,0.0,0.0,0.12996504233199388,0.20193977309243008
"105500",1.0,1.6011213235370483,0.0,0.09509212209169843,0.5267745608017123,0.28635400777903725
"105600",3.0,0.7897453110808714,0.9020026112495321,0.08523245610798268,0.36869176837087314,0.11685166371322986
"105700",1.0,1.931558688098644,0.11703818271561743,0.3377747221945817,0.6526527997078966,0.15288064338127344
"105800",1.0,1.6354661746398262,0.0,0.1328257970665653,0.4962045931513149,0.16892357671620822
